# i j cov
# order is xi+_0,xi+_1,...,xi-_0,xi-_1,.... from small scales to large in each
# tomo bins are in c order (i.e. 0,0 0,1 0,2 1,0 1,2 2,2) w/ internal order as above
4 31 7.33513565841480305282e-13
4 32 6.81544744342144192497e-14
4 33 1.48636910255477027291e-14
4 34 -1.29591439374910502431e-14
4 35 2.95282970524912514825e-14
4 36 2.27540854345883410300e-12
4 37 4.15361863313693197898e-14
4 38 6.65624162508095530242e-13
4 39 5.43246307684778114988e-13
4 40 2.69193420937793908394e-13
4 41 1.99086090970827258403e-13
4 42 3.99834495640021813868e-13
4 43 -4.86562675415479359848e-13
4 44 9.84751252139074356215e-14
4 45 3.13185161644173700545e-14
4 46 7.29266139609782841916e-14
4 47 4.79598733088513592143e-14
4 48 3.39415176349157754860e-13
4 49 8.41652698492897822440e-13
4 50 2.00795975366586425880e-13
4 51 4.89120440946292612888e-13
4 52 3.33242178131817067835e-13
4 53 2.32339410422207333326e-13
4 54 3.86191177516779777245e-13
4 55 -7.63687177754543667230e-15
4 56 3.89385807371258387944e-13
4 57 -5.26958577016481165515e-14
4 58 2.48170732458303464900e-14
4 59 7.03397344620678951300e-14
4 60 1.50563254203651128636e-12
4 61 3.97178003946791305011e-13
4 62 5.36208147813680595699e-13
4 63 2.38449386374189877921e-13
4 64 3.38168268932234918972e-13
4 65 2.55279685597643090408e-13
4 66 -7.14824488315430591723e-13
4 67 -1.60205819373350052237e-13
4 68 -3.68672242732634571934e-15
4 69 1.83075421215408275898e-13
4 70 -1.39140933441359384074e-14
4 71 1.48913543290716251891e-14
5 0 -1.07047633116486406240e-14
5 1 5.22078764770814976920e-13
5 2 -2.88740455027742296466e-14
5 3 3.40281629273501426506e-14
5 4 8.79514435189159652391e-14
5 5 1.85772650993197856767e-13
5 6 -1.85271688072182743034e-13
5 7 1.91471209271837524081e-13
5 8 3.77813837744263548595e-14
5 9 -2.94746114748114812266e-14
5 10 4.74128779094883458040e-15
5 11 -1.09640635624946435044e-14
5 12 4.15080288941480860800e-13
5 13 -1.85661072430352878434e-13
5 14 1.81027730241338985264e-13
5 15 2.25118803615518179998e-14
5 16 6.80386248762714910290e-14
5 17 1.48961929141439027494e-13
5 18 3.32630344460358985011e-13
5 19 2.19159820192501275513e-13
5 20 -3.51735519446616546319e-14
5 21 2.74761004828432519429e-14
5 22 -3.92018839744455086701e-16
5 23 -5.69209659830587403194e-15
5 24 5.54169393704900081258e-13
5 25 7.28268361264830977700e-14
5 26 1.00463687868090794613e-13
5 27 2.59013345534400487933e-14
5 28 1.05700707805248057091e-13
5 29 1.75330005415630453533e-13
5 30 -1.19175081819926196069e-13
5 31 6.59452776173143520445e-14
5 32 -4.99245909015103471718e-14
5 33 -2.93544352395664474217e-14
5 34 2.25040759050262148142e-14
5 35 -2.91098566029486444055e-14
5 36 3.73288753521770534561e-14
5 37 -3.13484177771436663800e-13
5 38 1.44852397287043309932e-13
5 39 -4.13023111635930644002e-14
5 40 8.90276584392241511957e-14
5 41 1.58208492974886532880e-13
5 42 -1.35411647205529177206e-13
5 43 2.20028877018262613599e-13
5 44 -1.85323171510308095529e-14
5 45 -4.36029564207715748745e-14
5 46 -7.37286920711826308728e-14
5 47 -1.36311465119565151390e-14
5 48 -2.15629744427687017609e-13
5 49 3.47247714847152858895e-13
5 50 3.80109542195471328363e-14
5 51 1.33673067516657959066e-13
5 52 1.00064651919058264463e-13
5 53 1.80161853761940806042e-13
5 54 -1.07998981432562695987e-13
5 55 -1.61758719543191892349e-13
5 56 -2.82745292810682132005e-14
5 57 -7.07255484316435951759e-14
5 58 -3.16820992419918615207e-15
5 59 3.08824552050665899040e-15
5 60 6.96624764955270610708e-13
5 61 -9.57905536123947239721e-14
5 62 2.93716306893182628611e-13
5 63 1.22455209555520785312e-13
5 64 1.31073610430064331875e-13
5 65 1.65886301117795326866e-13
5 66 1.21533543236756443112e-15
5 67 -1.49120342840972736022e-14
5 68 8.87708071949960373967e-14
5 69 -3.79892824237960466466e-14
5 70 -3.16410490632258938777e-14
5 71 6.73266394032464950391e-15
6 0 1.86641031416008421994e-11
6 1 -4.16457500553082235357e-12
6 2 5.10658109620125549794e-13
6 3 3.56284175132540465604e-12
6 4 -1.88095543289193663562e-12
6 5 -1.85271688072182743034e-13
6 6 2.16717449091588199938e-10
6 7 1.18002561465626556546e-11
6 8 1.93572107878233501939e-12
6 9 1.47836344320483722894e-12
6 10 5.92559982227810424975e-13
6 11 6.60716793027241552024e-13
6 12 1.28998574211105269397e-11
6 13 5.47322941876778838388e-12
6 14 2.22383582596142657008e-12
6 15 -6.02293113810633683374e-13
6 16 -8.70059276961880073225e-13
6 17 -3.06988781710659771773e-13
6 18 -1.75378409411753828338e-11
6 19 -4.88515098369634304182e-12
6 20 1.98146214010737582239e-12
6 21 1.12092340663870640836e-13
6 22 -4.55942598880436244451e-13
6 23 5.35719922124174041967e-13
6 24 1.41210011913085257259e-11
6 25 1.39051981977835169735e-11
6 26 -3.19211652427596407098e-12
6 27 3.25087062530196395666e-12
6 28 -7.09340674605156129282e-13
6 29 -1.07795790419614990494e-12
6 30 1.97353517966258104679e-11
6 31 6.33876946907876628295e-12
6 32 9.24342579247176575596e-13
6 33 -1.72030255377106522709e-12
6 34 2.09549183600769406998e-13
